cellule,Z_biapy,X_biapy,Y_biapy,Z_gcamp,X_gcamp,Y_gcamp,distance_3D
116,57.1537024615202,839.5,1088.5,49.9405627570893,837.93203454083,1084.45426084988,8.41759498595811
117,53.9767272570609,723,999.75,51.5571707932549,721.128956853602,999.372395142343,3.08182435673314
118,55.8479633127746,805.75,957.75,53.8681368017997,809.017463315197,961.189103266914,5.14037555147606
119,56.0944769395889,775,996,52.1923645787857,775.330277671626,998.713937239626,4.76455869492014
120,45.0429486058811,931.5,1096.5,50.6768360321311,932.693332497314,1094.14664404126,6.22117466796456
121,51.2256417205038,898.25,1065.75,51.2008784571841,897.991232558765,1067.60128348143,1.86944492736736
122,56.8380565219298,714.75,948,53.237612340259,713.123323149779,948.061832802181,3.95134144004278
123,44.8633028603218,890,1105.5,49.7767266182931,888.522775909981,1105.76494735385,5.13752091361599
124,62.1531993500569,774.75,946.25,53.9944428173092,775.07632714231,946.416987017092,8.16698734101739
125,50.9083350498678,774.75,1007.75,51.9034898767965,773.42329484516,1006.45949972754,2.10139730909359
126,59.1680377486366,921.25,1008.5,53.3253872242024,922.065474926112,1013.92733371609,8.01607857818136
127,59.5156383791239,732.5,926.75,54.0795136274804,722.520139417637,926.744967215954,11.3643783326563
128,59.4359543512326,794,1016.5,51.7636744607683,793.714004368477,1017.15382206324,7.70539781641758
129,48.815832646093,898.5,1094,50.3014916813013,897.855179286116,1093.61576637385,1.66451554555983
130,59.1980514148002,713.75,918,54.2402589457087,713.689413610515,919.196273557091,5.10043599122352
131,57.403220243855,872.75,1061.75,51.0947743485798,872.366743138302,1062.28598044866,6.34276363086338
132,55.5144303405272,833.75,1022.75,52.1533131540907,836.44215784888,1019.85375805025,5.18970519930941
133,69.8513690198898,977.75,888,58.408317618519,976.064031576841,884.332805106879,12.1340114258407
134,64.0166798190066,794.75,860.5,57.1688897585377,795.790394298068,861.221762749469,6.96387754589569
135,57.2693841649773,803.75,1045.25,50.9002837196764,802.425958241989,1045.02222999897,6.50925542843865
136,54.84655465183,874.25,905.25,56.4925540020222,874.767900291365,906.675693524921,2.23833344245914
137,53.7437091562169,889,1079.5,50.634037299055,888.933866119432,1081.05963483673,3.47949616659228
138,56.4244918240699,901.5,1099.75,50.0778631344415,902.189894273369,1101.51443581771,6.62335893540976
139,50.7102709195712,793.25,1035.25,51.1307987392162,792.115295894507,1034.96747523643,1.24266539991498
140,58.200297767553,934.25,961.5,55.2678089603876,928.854528825982,959.869955575733,6.35355370000882
141,56.799821740603,837.5,906.25,56.0318292012696,837.207030533631,907.727216456672,1.69050646510395
142,53.8479876113753,750.5,949.25,53.5887120101787,749.186505709003,949.696261868606,1.41125502487338
143,51.0170126367366,875.75,1018.5,52.6148969580223,874.94815352581,1019.08678514487,1.88162400033064
144,47.278871932825,824,1027.25,51.7888682896986,824.581632644152,1026.53006706228,4.6039838299636
145,59.4176625388484,757.5,1039.25,50.5854919011568,756.072075086277,1038.96658233814,8.95134254196472
146,53.7970912897327,868.25,1065.5,50.9061777806789,867.253916819534,1066.07645328737,3.11156889876417
147,54.4042122224757,812.25,1103.5,48.9604306751953,810.822254132839,1103.97694206449,5.64806953999204
148,55.5072317249167,874,1069.25,50.6412921288733,867.937358282781,1073.9750697518,9.09721258975124
149,64.3880983327141,844,856.25,57.8362300050394,845.446676254286,858.143817777253,6.9718287802657
150,57.2075266558147,773.5,936.75,54.058844393425,770.237014763164,942.966586622097,7.6946229196327
151,57.9249921458075,708.5,926,53.8966084642161,707.39169060822,927.091370978739,4.31825374512108
152,61.5496807124896,885.5,889.75,57.1573052071999,888.182229645454,891.806966772372,5.54242101910924
153,55.2940356038599,812.5,1004,52.218299239545,804.193994814038,1007.41262665153,9.49188585027855
154,60.908634195269,741.25,935,54.0072907161904,740.609798291019,934.760214633839,6.93512055167233
